102,172
29,82
172,122
29,121
172,153
29,78
90,172
46,29
64,172
149,29
29,155
172,57
172,60
29,73
172,90
29,135
29,149
29,160
172,89
29,170
29,168
113,29
172,133
78,29
29,75
29,131
117,172
172,66
29,65
172,116
41,172
81,29
34,172
48,20
141,172
101,172
46,172
59,29
98,29
139,172
138,172
124,29
29,104
29,125
30,19
29,36
96,29
29,118
81,172
172,72
172,156
29,167
29,144
75,29
47,20
172,87
172,118
172,83
150,172
61,29
126,172
172,78
29,31
53,29
29,157
172,99
46,21
29,84
47,29
118,172
172,150
172,86
56,29
69,29
29,117
172,76
163,29
29,152
127,29
29,138
133,172
29,102
172,70
172,37
29,38
42,21
142,172
172,111
29,165
62,172
34,29
31,19
29,100
35,172
172,71
82,29
29,129
73,172
31,29
148,29
58,172
85,29
111,172
172,44
29,57
29,123
171,172
121,172
115,29
29,115
59,172
172,127
45,23
36,172
172,85
172,30
142,29
112,172
57,29
29,77
42,23
29,137
148,172
29,54
29,83
44,22
29,66
29,145
58,29
172,154
172,31
36,29
104,172
68,172
45,24
172,46
29,80
29,103
41,21
37,20
38,29
41,22
72,29
172,68
170,29
29,55
172,117
73,29
129,29
29,114
169,29
172,47
68,29
119,172
29,41
88,29
172,169
172,64
172,58
44,24
172,113
33,172
29,74
97,29
29,143
30,20
112,29
29,139
147,29
161,172
172,109
29,119
163,172
132,172
29,111
172,137
164,29
172,38
172,140
63,172
29,98
29,101
77,29
37,22
149,172
29,51
83,172
47,172
172,73
141,29
35,29
94,172
29,151
119,29
29,162
134,172
140,29
29,89
91,29
121,29
29,30
96,172
88,172
128,172
107,29
108,29
29,90
44,29
29,81
147,172
143,29
29,133
32,172
50,29
44,20
114,172
65,29
29,122
29,40
172,56
29,88
53,24
157,29
172,136
45,25
165,172
29,120
44,26
87,172
172,159
32,23
172,53
172,131
31,172
29,124
29,60
60,29
43,23
104,29
80,29
29,37
52,172
172,107
135,172
78,172
29,127
29,64
99,29
41,29
172,79
36,24
45,19
172,96
29,48
43,24
29,171
29,156
136,29
29,105
40,28
109,172
29,166
39,29
100,29
38,23
154,172
29,136
46,19
29,148
65,172
29,153
47,27
40,29
122,172
29,56
172,100
172,54
172,155
66,29
122,29
172,34
155,172
44,23
36,20
33,22
172,48
172,29
61,172
29,99
136,172
172,158
172,132
160,172
29,161
66,172
84,29
54,29
172,40
29,72
128,29
172,63
172,39
145,29
69,172
160,29
29,112
168,172
30,29
32,29
29,86
29,47
172,106
172,160
157,172
113,172
29,110
51,172
89,172
172,105
172,151
172,84
29,107
29,116
29,94
29,142
158,172
74,29
29,159
172,143
172,35
82,172
99,172
29,34
172,103
159,172
29,44
29,150
39,22
29,87
100,172
40,22
62,29
43,20
29,58
156,29
43,29
172,108
111,29
40,21
172,49
127,172
29,50
29,70
86,172
55,172
172,82
85,172
67,29
29,52
52,29
44,28
162,172
54,172
55,29
101,29
172,59
172,115
29,93
29,109
172,139
172,161
29,76
29,63
60,172
42,172
172,148
172,124
29,154
57,172
144,29
143,172
171,29
95,172
89,28
172,102
118,29
120,29
48,19
29,79
172,43
117,29
172,168
29,126
29,132
29,68
29,108
29,169
151,172
98,172
29,42
29,140
172,61
109,29
106,29
108,172
29,96
172,147
29,106
131,29
44,172
172,88
145,172
172,91
129,172
29,45
162,29
172,97
34,20
134,29
31,20
76,29
172,144
138,29
56,172
72,172
172,92
79,29
44,25
77,172
125,172
95,29
97,172
92,172
39,172
172,98
48,172
172,80
172,134
172,77
159,29
114,29
29,141
172,152
167,172
172,141
53,172
172,130
139,29
167,29
172,149
45,22
93,172
30,172
29,62
29,29
137,172
91,172
29,85
106,172
29,172
172,81
35,19
169,172
172,146
40,19
137,29
172,110
29,53
43,22
140,172
172,95
41,20
38,19
172,50
40,20
29,134
161,29
29,128
45,172
29,71
172,126
151,29
70,172
45,21
172,138
43,21
144,172
164,172
107,172
172,114
29,163
120,172
84,172
156,172
67,172
170,172
43,27
29,113
80,172
29,95
71,29
116,29
155,29
146,172
71,172
172,45
29,69
29,164
172,93
105,29
75,172
172,67
110,29
135,29
29,92
132,29
83,29
42,29
49,29
172,142
172,62
33,29
150,29
76,172
166,172
29,49
152,29
123,29
36,21
70,29
172,123
29,158
172,119
64,24
116,172
172,69
92,29
172,94
45,20
133,29
29,43
172,135
40,172
172,157
29,35
172,172
158,29
43,172
64,29
105,172
166,29
79,172
38,20
29,130
124,172
51,29
153,172
38,172
172,55
165,29
172,36
115,172
29,67
146,29
29,46
45,29
46,20
110,172
29,59
172,125
80,21
29,97
